NorthBank x, NorthBank y, SouthBank x, SouthBank y
-19.573,1396.4,-0.89143,1287
208.39,1420.5,395.18,1358.8
436.95,1492.6,618.76,1462.9
635.6,1600.5,776.23,1547.4
759.68,1816.1,926.76,1735.9
869.18,2079.5,1071.2,2099.6
947.44,2271.1,1184.3,2593.2
995.19,2450.7,1644.1,3152.1
1104.4,2690.2,1991.5,3288.7
1273.9,2893.9,2386,3230.6
1428,3085.5,2679.5,2997.1
1612.8,3301.2,2889.2,2646.6
1841.5,3385.2,2985.6,1783.1
2160.6,3409.4,3253.2,1452.1
2479,3385.7,3627.5,1095.3
2749.5,3170.5,3978.6,855.35
2989,2895.3,4396.2,667.39
3137.2,2608.2,4765.6,583.29
3175.4,2009.6,5291.7,518.8
3472.4,1483.2,5818.9,538.72
3998.6,1076.6,6182.5,649.42
4587.5,825.71,6538.7,825.05
5375.1,694.7,6856.2,1201.9
6105.1,815.02,7084.7,1702.1
6611.5,1258.4,7229.7,2111.3
6814.4,1713.4,7710.9,2410.5
6941.6,2180.4,8272.1,2521.3
7172.4,2432,8849.5,2606.2
7690.6,2612,9418.9,2717.1
8649.1,2792.4,10035,2639.7
9333.6,2912.7,10612,2679.1
10183,2841.6,11076,2854.9
10714,2877.9,11417,3173.3
11143,3153.6,11686,3608.6
11468,3692.6,11800,4199.6
11537,4387,11949,4881.6
11681,4937.8,12101,5219.4
11899,5380.9,12506,5375.6
12417,5560.9,12943,5395.4
13116,5597.4,13429,5389.3
13965,5550.2,13930,5344.3
14813,5395.3,14924,5137.3
15675,5144.6,15391,5001.4
16294,4881.8,15867,4820
16975,4738.7,16391,4632.1
17587,5122.3,16901,4567.6
18199,5470,17371,4645.9
18987,5386.9,17670,4854
19485,5147.9,18102,5120.6
19613,4429.7,18556,5276.8
19812,3364.5,19000,5199.2
20354,3005.8,19285,4920.3
21128,3006.5,19334,3543.7
21494,3150.4,19585,3212.7
21503,3880.7,20001,2894.9
21486,4970,20484,2713.5
21991,5269.7,21003,2713.9
22522,5258.2,21474,2844.2
23094,4851.7,21900,3993.9
23604,4573.3,21904,4980.9
24377,4200,22209,5039.6
25092,4150.4,22616,4708.8
26093,4240.3,22876,4416.8
27124,4310.5,23260,4131.4
27987,4360.5,23702,3911
28561,4370.5,24261,3846.6
29207,4250.6,24838,3950.9
30090,4200.7,28170,3893.8
30384,4250.6,29914,3789
31363,4762.9,31148,3992.9
31759,5481.4,32126,4607.9
32738,5968,32738,5726
